ROUND 1 | Acc=0.6958 | Recall=0.5199 | Precision=0.8021 | F1=0.6309 | TP=3324 | FP=820 | TN=5573 | FN=3069
ROUND 2 | Acc=0.7040 | Recall=0.5351 | Precision=0.8080 | F1=0.6438 | TP=3421 | FP=813 | TN=5580 | FN=2972
ROUND 3 | Acc=0.7095 | Recall=0.5515 | Precision=0.8063 | F1=0.6550 | TP=3526 | FP=847 | TN=5546 | FN=2867
ROUND 4 | Acc=0.7116 | Recall=0.5573 | Precision=0.8061 | F1=0.6590 | TP=3563 | FP=857 | TN=5536 | FN=2830
ROUND 5 | Acc=0.7123 | Recall=0.5600 | Precision=0.8052 | F1=0.6606 | TP=3580 | FP=866 | TN=5527 | FN=2813
ROUND 6 | Acc=0.7130 | Recall=0.5630 | Precision=0.8042 | F1=0.6623 | TP=3599 | FP=876 | TN=5517 | FN=2794
ROUND 7 | Acc=0.7127 | Recall=0.5636 | Precision=0.8032 | F1=0.6624 | TP=3603 | FP=883 | TN=5510 | FN=2790
ROUND 8 | Acc=0.7128 | Recall=0.5626 | Precision=0.8042 | F1=0.6621 | TP=3597 | FP=876 | TN=5517 | FN=2796
ROUND 9 | Acc=0.7119 | Recall=0.5600 | Precision=0.8043 | F1=0.6603 | TP=3580 | FP=871 | TN=5522 | FN=2813
ROUND 10 | Acc=0.7118 | Recall=0.5587 | Precision=0.8052 | F1=0.6597 | TP=3572 | FP=864 | TN=5529 | FN=2821
ROUND 11 | Acc=0.7130 | Recall=0.5669 | Precision=0.8011 | F1=0.6639 | TP=3624 | FP=900 | TN=5493 | FN=2769
ROUND 12 | Acc=0.7104 | Recall=0.5590 | Precision=0.8017 | F1=0.6587 | TP=3574 | FP=884 | TN=5509 | FN=2819
ROUND 13 | Acc=0.7123 | Recall=0.5598 | Precision=0.8054 | F1=0.6605 | TP=3579 | FP=865 | TN=5528 | FN=2814
ROUND 14 | Acc=0.7119 | Recall=0.5583 | Precision=0.8058 | F1=0.6596 | TP=3569 | FP=860 | TN=5533 | FN=2824
ROUND 15 | Acc=0.7122 | Recall=0.5587 | Precision=0.8061 | F1=0.6600 | TP=3572 | FP=859 | TN=5534 | FN=2821
ROUND 16 | Acc=0.7118 | Recall=0.5572 | Precision=0.8066 | F1=0.6591 | TP=3562 | FP=854 | TN=5539 | FN=2831
ROUND 17 | Acc=0.7118 | Recall=0.5567 | Precision=0.8070 | F1=0.6589 | TP=3559 | FP=851 | TN=5542 | FN=2834
ROUND 18 | Acc=0.7117 | Recall=0.5569 | Precision=0.8067 | F1=0.6589 | TP=3560 | FP=853 | TN=5540 | FN=2833
ROUND 19 | Acc=0.7117 | Recall=0.5565 | Precision=0.8070 | F1=0.6588 | TP=3558 | FP=851 | TN=5542 | FN=2835
ROUND 20 | Acc=0.7116 | Recall=0.5567 | Precision=0.8067 | F1=0.6588 | TP=3559 | FP=853 | TN=5540 | FN=2834
