ROUND 1 | Acc=0.6958 | Recall =0.5199 | Spec=0.8717 | HD=0.126926 | RTD=0.0000 | Flip=None | p0=0.6759 | p1=0.3241 | q0=0.5000 | q1=0.5000
ROUND 2 | Acc=0.7040 | Recall =0.5351 | Spec=0.8728 | HD=0.121644 | RTD=0.0000 | Flip=None | p0=0.6689 | p1=0.3311 | q0=0.5000 | q1=0.5000
ROUND 3 | Acc=0.7095 | Recall =0.5515 | Spec=0.8675 | HD=0.113538 | RTD=0.0000 | Flip=None | p0=0.6580 | p1=0.3420 | q0=0.5000 | q1=0.5000
ROUND 4 | Acc=0.7116 | Recall =0.5573 | Spec=0.8659 | HD=0.110810 | RTD=0.0000 | Flip=None | p0=0.6543 | p1=0.3457 | q0=0.5000 | q1=0.5000
ROUND 5 | Acc=0.7123 | Recall =0.5600 | Spec=0.8645 | HD=0.109304 | RTD=0.0000 | Flip=None | p0=0.6523 | p1=0.3477 | q0=0.5000 | q1=0.5000
ROUND 6 | Acc=0.7130 | Recall =0.5630 | Spec=0.8630 | HD=0.107627 | RTD=0.0036 | Flip=None | p0=0.6500 | p1=0.3500 | q0=0.5000 | q1=0.5000
ROUND 7 | Acc=0.7127 | Recall =0.5636 | Spec=0.8619 | HD=0.106991 | RTD=0.0023 | Flip=None | p0=0.6491 | p1=0.3509 | q0=0.5000 | q1=0.5000
ROUND 8 | Acc=0.7128 | Recall =0.5626 | Spec=0.8630 | HD=0.107742 | RTD=0.0002 | Flip=None | p0=0.6502 | p1=0.3498 | q0=0.5000 | q1=0.5000
ROUND 9 | Acc=0.7119 | Recall =0.5600 | Spec=0.8638 | HD=0.109015 | RTD=0.0016 | Flip=None | p0=0.6519 | p1=0.3481 | q0=0.5000 | q1=0.5000
ROUND 10 | Acc=0.7118 | Recall =0.5587 | Spec=0.8649 | HD=0.109883 | RTD=0.0020 | Flip=None | p0=0.6531 | p1=0.3469 | q0=0.5000 | q1=0.5000
ROUND 11 | Acc=0.7130 | Recall =0.5669 | Spec=0.8592 | HD=0.104798 | RTD=0.0041 | Flip=None | p0=0.6462 | p1=0.3538 | q0=0.5000 | q1=0.5000
ROUND 12 | Acc=0.7104 | Recall =0.5590 | Spec=0.8617 | HD=0.108610 | RTD=0.0007 | Flip=None | p0=0.6513 | p1=0.3487 | q0=0.5000 | q1=0.5000
ROUND 13 | Acc=0.7123 | Recall =0.5598 | Spec=0.8647 | HD=0.109420 | RTD=0.0017 | Flip=None | p0=0.6524 | p1=0.3476 | q0=0.5000 | q1=0.5000
ROUND 14 | Acc=0.7119 | Recall =0.5583 | Spec=0.8655 | HD=0.110289 | RTD=0.0027 | Flip=None | p0=0.6536 | p1=0.3464 | q0=0.5000 | q1=0.5000
ROUND 15 | Acc=0.7122 | Recall =0.5587 | Spec=0.8656 | HD=0.110173 | RTD=0.0007 | Flip=None | p0=0.6534 | p1=0.3466 | q0=0.5000 | q1=0.5000
ROUND 16 | Acc=0.7118 | Recall =0.5572 | Spec=0.8664 | HD=0.111042 | RTD=0.0011 | Flip=None | p0=0.6546 | p1=0.3454 | q0=0.5000 | q1=0.5000
ROUND 17 | Acc=0.7118 | Recall =0.5567 | Spec=0.8669 | HD=0.111390 | RTD=0.0009 | Flip=None | p0=0.6551 | p1=0.3449 | q0=0.5000 | q1=0.5000
ROUND 18 | Acc=0.7117 | Recall =0.5569 | Spec=0.8666 | HD=0.111216 | RTD=0.0003 | Flip=None | p0=0.6549 | p1=0.3451 | q0=0.5000 | q1=0.5000
ROUND 19 | Acc=0.7117 | Recall =0.5565 | Spec=0.8669 | HD=0.111448 | RTD=0.0002 | Flip=None | p0=0.6552 | p1=0.3448 | q0=0.5000 | q1=0.5000
ROUND 20 | Acc=0.7116 | Recall =0.5567 | Spec=0.8666 | HD=0.111274 | RTD=0.0001 | Flip=None | p0=0.6549 | p1=0.3451 | q0=0.5000 | q1=0.5000
