ROUND 1 | C3 | Acc=0.7227 | HD=0.015268
ROUND 1 | C2 | Acc=0.7230 | HD=0.019033
ROUND 1 | C1 | Acc=0.7209 | HD=0.024518
ROUND 2 | C2 | Acc=0.7249 | HD=0.020418
ROUND 2 | C3 | Acc=0.7266 | HD=0.014161
ROUND 2 | C1 | Acc=0.7258 | HD=0.029009
ROUND 3 | C1 | Acc=0.7270 | HD=0.028677
ROUND 3 | C3 | Acc=0.7273 | HD=0.026070
ROUND 3 | C2 | Acc=0.7265 | HD=0.023409
ROUND 4 | C1 | Acc=0.7272 | HD=0.022135
ROUND 4 | C2 | Acc=0.7284 | HD=0.013884
ROUND 4 | C3 | Acc=0.7281 | HD=0.012612
ROUND 5 | C3 | Acc=0.7281 | HD=0.015268
ROUND 5 | C1 | Acc=0.7256 | HD=0.034283
ROUND 5 | C2 | Acc=0.7286 | HD=0.018258
ROUND 6 | C2 | Acc=0.7288 | HD=0.019587
ROUND 6 | C1 | Acc=0.7279 | HD=0.023853
ROUND 6 | C3 | Acc=0.7264 | HD=0.032450
ROUND 7 | C2 | Acc=0.7278 | HD=0.025682
ROUND 7 | C3 | Acc=0.7263 | HD=0.022855
ROUND 7 | C1 | Acc=0.7285 | HD=0.021969
ROUND 8 | C2 | Acc=0.7291 | HD=0.019697
ROUND 8 | C3 | Acc=0.7285 | HD=0.016431
ROUND 8 | C1 | Acc=0.7280 | HD=0.023132
ROUND 9 | C2 | Acc=0.7288 | HD=0.021581
ROUND 9 | C3 | Acc=0.7263 | HD=0.027567
ROUND 9 | C1 | Acc=0.7287 | HD=0.020639
ROUND 10 | C2 | Acc=0.7279 | HD=0.022190
ROUND 10 | C3 | Acc=0.7284 | HD=0.022079
ROUND 10 | C1 | Acc=0.7285 | HD=0.025682
ROUND 11 | C1 | Acc=0.7284 | HD=0.034172
ROUND 11 | C2 | Acc=0.7291 | HD=0.025571
ROUND 11 | C3 | Acc=0.7284 | HD=0.022634
ROUND 12 | C2 | Acc=0.7288 | HD=0.021969
ROUND 12 | C3 | Acc=0.7295 | HD=0.009956
ROUND 12 | C1 | Acc=0.7283 | HD=0.024906
ROUND 13 | C1 | Acc=0.7290 | HD=0.025405
ROUND 13 | C3 | Acc=0.7285 | HD=0.014217
ROUND 13 | C2 | Acc=0.7286 | HD=0.027567
ROUND 14 | C2 | Acc=0.7288 | HD=0.015822
ROUND 14 | C1 | Acc=0.7291 | HD=0.027234
ROUND 14 | C3 | Acc=0.7281 | HD=0.017206
ROUND 15 | C1 | Acc=0.7288 | HD=0.020196
ROUND 15 | C2 | Acc=0.7285 | HD=0.013829
ROUND 15 | C3 | Acc=0.7292 | HD=0.010564
ROUND 16 | C3 | Acc=0.7285 | HD=0.025017
ROUND 16 | C2 | Acc=0.7290 | HD=0.031618
ROUND 16 | C1 | Acc=0.7285 | HD=0.021747
ROUND 17 | C3 | Acc=0.7288 | HD=0.008683
ROUND 17 | C1 | Acc=0.7293 | HD=0.034839
ROUND 17 | C2 | Acc=0.7290 | HD=0.025959
ROUND 18 | C3 | Acc=0.7276 | HD=0.027401
ROUND 18 | C2 | Acc=0.7292 | HD=0.026791
ROUND 18 | C1 | Acc=0.7285 | HD=0.036728
ROUND 19 | C1 | Acc=0.7290 | HD=0.019088
ROUND 19 | C2 | Acc=0.7288 | HD=0.024629
ROUND 19 | C3 | Acc=0.7277 | HD=0.019642
ROUND 20 | C2 | Acc=0.7292 | HD=0.026791
ROUND 20 | C1 | Acc=0.7295 | HD=0.021802
ROUND 20 | C3 | Acc=0.7291 | HD=0.020916
